PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
1,0,3,"Davies, Mr. Samuel",M,25.5,0,0,SOTON 28062,8.04,,s
2,0,3,"Brown, Mr. Miguel",MALE,0.7,1,0,SOTON 99913,3.15,,s
3,1,3,"Lewis, Mrs. Alice",female,33.4,0,0,W./C. 38266,1.61,, Q 
4,1,3,"Clark, Mrs. María",female,30.4,1,1,LINE 40522,9.30,,Southampton
5,1,1,"Young, Mrs. Alice",f,33.1,0,0,A/5 73103,165.10,,Cherbourg
6,0,3,"Evans, Mrs. María",Female,unknown,1,0,LINE 51457,12.59,,Cherbourg
7,0,3,"Smith, Mr. James", male ,27.6,0,0,W./C. 27644,9.13,, S 
8,1,1,"Martínez, Mr. Luis",M,unknown,0,1,W./C. 18685,101.05,,s
9,1,1,"Thomas, Miss. Elena",Female,8.3,1,0,W./C. 70293,39.65,,S
10,1,1,"King, Mr. Carlos",MALE,unknown,1,0,A/5 64030,155.58,,S
11,1,2nd,"Johnson, Miss. Edith",F,17.4,0,0,SOTON 69065,9.93,,southampton
12,1,2,"Martínez, Miss. Isabella",female,11.4,0,0,W./C. 67105,13.69,E150, S 
13,0,1,"Wright, Mr. George",Male,34.9,0,0,PC 58799,160.79,,Cherbourg
14,0,2,"Johnson, Mr. Miguel", male ,33.2,0,0,LINE 79540,38.37,,
15,0,3,"García, Mr. Charles",Male,0.3,0,4,A/5 77528,13.75,,Southampton
16,0,3,"Hall, Mr. Carlos",male,33.3,3,0,LINE 5903,24.42,,C
17,0,3,"Wilson, Mr. John",Male,19.5,0,0,C.A. 63583,17.14,,Southampton
18,1,2,"Wilson, Mrs. Mary",Female,44.3,1,0,W./C. 70986,16.89,,C
19,1,2,"Lewis, Mr. Carlos",m,33.5,0,0,A/5 15079,18.34,,S
20,0,1,"Young, Mr. Thomas", male ,23.5,2,0,A/5 43789,80.56,,Southampton
21,0,1,"García, Mr. James",Male,37.3,2,0,A/5 43591,63.81,C93, S 
22,0,3,"Johnson, Mr. Robert",male,0.3,0,0,STON/O2 90517,19.74,,southampton
23,0,1,"Martin, Mr. Thomas", male ,33.2,0,1,A/5 48792,34.50,,s
24,0,3,"Wright, Mr. Alejandro",m,unknown,1,2,C.A. 54332,11.08,,queenstown
25,0,1,"Smith, Mrs. María",f,35.1,1,2,STON/O2 60766,175.59,,S
26,0,3,"Wright, Mr. Luis",MALE,,1,0,SOTON 66616,12.71,,southampton
27,1,2,"Brown, Mr. Samuel", male ,41.6,0,0,LINE 11083,60.02,F158,queenstown
28,1,3,"Lewis, Mr. Miguel",M,21.9,0,0,SOTON 42856,6.97,,s
29,0,3,"Hall, Mr. William",Male,5.5,0,0,W./C. 83860,9.39,, S 
