PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,FamilySize,IsAlone,HasCabin,AgeGroup
1,0,3,"Davies, Mr. Samuel",male,25.5,0,0,SOTON 28062,8.04,Unknown,S,1,1,0,Adulto
2,0,3,"Brown, Mr. Miguel",male,0.7,1,0,SOTON 99913,3.15,Unknown,S,2,0,0,Niño
3,1,3,"Lewis, Mrs. Alice",female,33.4,0,0,W./C. 38266,1.61,Unknown,Q,1,1,0,Adulto
4,1,3,"Clark, Mrs. María",female,30.4,1,1,LINE 40522,9.3,Unknown,S,3,0,0,Adulto
5,1,1,"Young, Mrs. Alice",female,33.1,0,0,A/5 73103,165.1,Unknown,C,1,1,0,Adulto
6,0,3,"Evans, Mrs. María",female,29.9,1,0,LINE 51457,12.59,Unknown,C,2,0,0,Adulto
7,0,3,"Smith, Mr. James",male,27.6,0,0,W./C. 27644,9.13,Unknown,S,1,1,0,Adulto
8,1,1,"Martínez, Mr. Luis",male,29.9,0,1,W./C. 18685,101.05,Unknown,S,2,0,0,Adulto
9,1,1,"Thomas, Miss. Elena",female,8.3,1,0,W./C. 70293,39.65,Unknown,S,2,0,0,Niño
10,1,1,"King, Mr. Carlos",male,29.9,1,0,A/5 64030,155.58,Unknown,S,2,0,0,Adulto
11,1,2,"Johnson, Miss. Edith",female,17.4,0,0,SOTON 69065,9.93,Unknown,S,1,1,0,Joven
12,1,2,"Martínez, Miss. Isabella",female,11.4,0,0,W./C. 67105,13.69,E150,S,1,1,1,Niño
13,0,1,"Wright, Mr. George",male,34.9,0,0,PC 58799,160.79,Unknown,C,1,1,0,Adulto
14,0,2,"Johnson, Mr. Miguel",male,33.2,0,0,LINE 79540,38.37,Unknown,S,1,1,0,Adulto
15,0,3,"García, Mr. Charles",male,0.3,0,4,A/5 77528,13.75,Unknown,S,5,0,0,Niño
16,0,3,"Hall, Mr. Carlos",male,33.3,3,0,LINE 5903,24.42,Unknown,C,4,0,0,Adulto
17,0,3,"Wilson, Mr. John",male,19.5,0,0,C.A. 63583,17.14,Unknown,S,1,1,0,Joven
18,1,2,"Wilson, Mrs. Mary",female,44.3,1,0,W./C. 70986,16.89,Unknown,C,2,0,0,Adulto
19,1,2,"Lewis, Mr. Carlos",male,33.5,0,0,A/5 15079,18.34,Unknown,S,1,1,0,Adulto
20,0,1,"Young, Mr. Thomas",male,23.5,2,0,A/5 43789,80.56,Unknown,S,3,0,0,Adulto
21,0,1,"García, Mr. James",male,37.3,2,0,A/5 43591,63.81,C93,S,3,0,1,Adulto
22,0,3,"Johnson, Mr. Robert",male,0.3,0,0,STON/O2 90517,19.74,Unknown,S,1,1,0,Niño
23,0,1,"Martin, Mr. Thomas",male,33.2,0,1,A/5 48792,34.5,Unknown,S,2,0,0,Adulto
24,0,3,"Wright, Mr. Alejandro",male,29.9,1,2,C.A. 54332,11.08,Unknown,Q,4,0,0,Adulto
25,0,1,"Smith, Mrs. María",female,35.1,1,2,STON/O2 60766,175.59,Unknown,S,4,0,0,Adulto
26,0,3,"Wright, Mr. Luis",male,29.9,1,0,SOTON 66616,12.71,Unknown,S,2,0,0,Adulto
